url,name,price,rating,reviews,description,product desc
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODI3OTgyMTcyMjM0MDI6MTY3NTQ0MDg5NjpzcF9hdGZfbmV4dDoyMDExNTgyNjkzNDc5ODo6MDo6&url=%2FBackpack-Capacity-Water-resistant-Multi-pocket-Business%2Fdp%2FB0B6FK9ZZG%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675440896%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"Arctic Hunter Laptop Bag,Casual Backpack 30L Large Capacity Laptop Bag with 15.6"" Laptop Pocket Water-resistant,Multi-pocket School Travel Business Bag with USB Charging Port for Men/Women,Black  ","₹2,849",4.54.5 out of 5 stars ,-34,"[Multi-compartment&Large Capacity Backpack] -- Arctic Hunter original bag, 100% guarantee, two-year warranty. Seven pockets for the Backpack,1*Small Front Pocket+ 1*Large Front Pocket+ 1*Main Pocket+ 1*Laptop Pocket+ 1* Anti-theft Back Pocket+ 2*Mesh Side Pocket.The Large Front Pocket has 6 pockets for mobile phone,pen,books,wallet... The Main Pocket can be used to store many clothings.The laptop Pocket protect and store laptop and ipad.The back Pocket is hidden to put into values.    [Multi-function Backpack]-- This design of this backpack make that the backapck can be used as a casual backpack,travel backpack,Laptop backapck,school backpack,business backpack.there are seven pockets and large capacity,which let you put into a lot of all kinds of things,It can be used frequently.    [High quality and lightweight material]-- Built with durable 1200D grid polyester material with YKK brand metal zipper, The laptop compartment made by EPE Foam Covered by Velvet For Shock-Proof & Soft skin-friendly,there are Enhanced shock absorption EVA at the bottom and side of the laptop compartment,ensures safe and durable use every day and weekend.best to protect your laptop.    [Breathable and comfortable]-- Arctic Hunter backpack designed for comfortable all-day carrying, padded on the back made of breathable mesh and foam to keep you cool, and comfortable and breathable mesh shoulder straps with abundant sponge pad that help relieve stress from your shoulder. Both sides of the shoulder strap with pocket design, can hang sunglasses and laptop Ideal for work.Two Handle(Sponge handle,Plastic film handle) allows you to comfortably carry this bag.    [Very nice laptop bag for gift]-- Ideal for outdoor walks,casual trips,campus for boys and girls.Ideal gift for Valentine's day,Father's day,Diwali,Christmas,The New Year, Perfect for students,business professionals or travelers want to make a fashion statement and also a good gift for your family."," 



 

 Arctic Hunter Laptop Backpack   ● Why do you choose a unique Arctic Hunter backpack just for using a laptop?   ● Why can't you use a regular backpack that you already have?   You certainly could use a regular backpack; however, your laptop wouldn't be as protected. It would just be floating around in the space in the pack, leaving it open to damage.Additionally, your charger and all your other accessories, such as CDs and mobile devices, are also banging around in the bottom of that backpack, along with textbooks or paperwork necessary to your business.   So we designed this laptop backpack; you won't need to worry as much about the safety of your laptop or other materials. It's constructed to keep everything safe and separate while also making it easy to find everything.  



 HELPFUL TIPS      Dimension:46cm*30cm21cm     Capacity:30L     Weight: 1.18kg     




"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODI3OTgyMTcyMjM0MDI6MTY3NTQ0MDg5NjpzcF9hdGZfbmV4dDoyMDEwNDE0MDI2MzY5ODo6MDo6&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675440896%26sprefix%3Dba%252Caps%252C283%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DA385M0TPSNV7VS,"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black  ","₹1,169",3.93.9 out of 5 stars ,-684,"Laptop Compatibility: Yes, Laptop size: 15.6 inches    Outer Material: Polyester, Color: Black    Water Resistance: Water resistant    Dimensions: 33 cms x 17.5 cms x 47 cms (LxWxH)    Warranty type: Manufacturer; 12 months warranty against manufacturing defects"," 


 



"
https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1675440896&sprefix=ba%2Caps%2C283&sr=8-20,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)  ",₹899,3.93.9 out of 5 stars ,-675,"100% Polyester, High Quality, Durable and Water Resistant Fabric    2 compartment backpack with a padded sleeve for laptops, can hold upto 17 inch laptop/notebook    Front storage pocket keeps smaller items neatly organized and easy to access    Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects    Age Range Description: Adult; Closure Type: Zipper; Special Features: Lightweight"," 


 



"
https://www.amazon.in/Inovera-Label-Women-Handbags-Shoulder/dp/B08CMQD4BC/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1675440896&sprefix=ba%2Caps%2C283&sr=8-21,"INOVERA Faux Leather Women Handbags Shoulder Hobo Bag Purse With Long Strap, 32L x 13B x 30H cm  ","₹1,399",4.14.1 out of 5 stars ,"-6,808","Medium Purses for Women: 32L x 13B x 30H cm. Short handle height: 25cm, This hobo bag comes with a long removable and adjustable shoulder strap, which can be used as a women shoulder bag or hobo cross-body bag.    Updated Women Handbags: High-quality Vegan leather, Reinforced shoulder strap and improved zipper quality, also improved lining polyester, all faux leather hobo bags have been done anti-shock&wear-resistant tests, good purses and handbags for women.    Package Include: 1 x Hand Bag, 1 x Cross Body Strap    Structure: Ladies hobo handbags has one main compartment,1 middle compartment, 1 zipper pocket and 2 slot pockets, with 1 back zipper pocket, enough capacity to organize your daily items, such as 9.7-inch iPad, book, umbrella, wallet, water bottle, iPhone and cosmetics, etc.    Classic Hobo Purse: Top zipper closure, with 2 side zipper pockets design and elegant tassels decoration, fashionable and practical handbags for women, perfect for shopping, dating, travel and business.    🚩 DISCLAIMER: 🚩 WE HIGHLY RECOMMEND TO CHECK THE PRODUCT SIZE CHART IN 2ND IMAGE BEFORE PURCHASE TO AVOID MISCONCEPTION REGARDING THE PRODUCT SIZE. PRODUCT COLOUR MAY SLIGHTLY VARY DUE TO PHOTOGRAPHIC LIGHTING SOURCES OR YOUR MONITOR SETTINGS."," 


 

 Classic Hobo Style Bag   top zip closure, with 2 side zippered pockets and elegant decoration tassel, fashionable and practical for women, perfect for shopping, dating, travel, and business.High-quality Faux leather, reinforced shoulder strap, and improved zipper quality.Faux leather bags are shockproof and wear-resistant.Removable and adjustable long shoulder strap.  



"
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1675440896&sprefix=ba%2Caps%2C283&sr=8-23,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black)  ,"₹1,247",4.34.3 out of 5 stars ,"-4,881","Outer Material: Polyester, Color: Black    Water Resistance: Water resistant    Capacity: 30 liters; Dimensions: 50 cms x 34 cms x 18 cms (LxWxH); Number of compartments: 2    Laptop Compatibility: Yes, Laptop Size: 17, Strap Type: Adjustable,    Closure Type: Zipper; Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Traditional Backpacks"," 


 



"
https://www.amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1675440896&sprefix=ba%2Caps%2C283&sr=8-24,NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel  ,₹239,4.04.0 out of 5 stars ,"-1,983","Strong stitching at major stress points provide long-lasting durability against daily activities    Mesh side water bottle pocket. Adjustable shoulder strap.    Main large compartment with double zip closure. Tough high durability fabric    High quality double zippers, easy to access. Highly water-resistant finish to save inner items from water splashes    Comes in attractive color combinations."," 


 

 About Founder   Sh. Vijay Kharabanda, the founder of NIVIA was a visionary and  patriarch, whose boundless ambition and deep sense of passion led him to  establish Indian Sports Brands in history.  His life of exemplary hard work, compassion, care and accomplishment was  filled with spirit and zest.   He established NIVIA and with that the reputation of Jalandhar as the  quality football, volleyball and basketball manufacturing base of India.   In collaboration with another ball bladder manufacturer, he launched  molded basketballs and volleyballs for the first time in the country.  



"
https://www.amazon.in/Skybags-Polypropylene-Cms-Travel-DFACN1BLU_Blue/dp/B0B6CH21F9/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1675440896&sprefix=ba%2Caps%2C283&sr=8-25,Skybags Polypropylene 46 Cms Travel Bag(DFACN1BLU_Blue)  ,₹714,4.04.0 out of 5 stars ,-23,Spacious Main compartment    Soft Grip handles    Comfertable Shoulder Strap    Easy access front pocket    Stylish Design," 


 



"
https://www.amazon.in/Hilfiger-Joshua-Backpack-TH-JOSHUALAP01/dp/B07N8GRWTZ/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1675440896&sprefix=ba%2Caps%2C283&sr=8-26,Tommy Hilfiger Joshua 15 inch 21 Ltrs Light Grey Laptop Backpack (TH/JOSHUALAP07)  ,"₹2,239",3.93.9 out of 5 stars ,-366,"Outer Material: Polyester, Color: Black;Water resistant    Capacity: 21 liters; Dimensions: 32 cms x 14 cms x 46 cms (LxWxH)    Number of compartments: 3; Laptop Compatibility: Yes, Laptop Size: 15 inches    Warranty type: Manufacturer; 1 year    Closure Type: Zipper; Age Range Description: Adult",
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODI3OTgyMTcyMjM0MDI6MTY3NTQ0MDg5NjpzcF9tdGY6MjAxMDg1OTU1OTgxOTg6OjA6Og&url=%2FLavie-Sport-Chairman-Compatible-compartments%2Fdp%2FB0B45VLPMT%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675440896%26sprefix%3Dba%252Caps%252C283%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Lavie Sport Chairman Director Business Laptop Bags | Premium Leatherette Business Backpacks for Men & Women | Durable Office Bag for Notebook/MacBook  ,"₹1,079",4.14.1 out of 5 stars ,-577,"A laptop backpack you can count on! Start the day with a lavie sport Chairman laptop backpack that features spacious compartments, pass through trolley handle, a multi-level organizer, and mesh padded shoulder straps for ease and comfort    The padded laptop compartment fits upto 14"" laptop. Pass through trolley handle on the back panel helps to secure personal items. The front pocket has multiple level zippered organizers to hold keys, pens, cell phones, a power bank, etc    This laptop backpack is built with water-resistant polyester fabric and synthetic leather that does not allow water to penetrate. On one side panel, it features one fabric pocket to hold a bottle or a compact umbrella    External Dimension: Length – 30cm, Width – 16cm, Height – 43cm. Capacity – 24 litres. Laptop Compatibility – Yes, Up to 14""    Manufacturer warranty - 12 months"," 


 



"
https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL66G55/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1675440896&sprefix=ba%2Caps%2C283&sr=8-29,"WILDHORN 31L Laptop Backpack for Men / Women I Fits upto 15.6"" Laptop I Waterproof I Travel / Business / College Bookbags  ",₹599,4.14.1 out of 5 stars ,-706,"?LOTS OF STORAGE SPACE&POCKETS- This travel backpack design with multi independent pockets for large storage and organization for small items. 2 spacious main multi compartments with many hidden pockets can accommodate lots of stuffs like college supplies, travel accessories, clothes, stationery, notebook, Mesh pockets at side for water bottle and compact umbrella make your items organized and easier to find.Ideal book bag backpack for high school boys perfectly.    ?DIMENSION & DURABLE MATERIAL - Size of extra large backpack:18.89 x 12.0 x 2.99 (inches), perfect to throw under your seat on an airplane when you are traveling or on business trip.Separate padded laptop compartment fits most 15.5 inch laptop /Ipad/Computer.The business computer backpack made from high quality polyester fabric shockproof with high density nylon lining for better TEAR & WATER RESISTANT and heavy duty backpack.    ?MULTIPURPOSE - At checkpoint, unfolds the travel backpack freely 90-180 degrees making you quickly through the airport security and keep items tidy, exclusive designed for airplane travel. The big backpack is perfect for indoor/outdoor activities. Served as a durable laptop backpack, large school backpack for Teen Boys/Girls, large laptop bag or spacious college backpack. Perfect travel gifts for men women who like international travel, camping, hiking and overnight trip.    ?SECURE& SAFE - Durable Metal Zippers,protects wallet and other items inside from thief and offers a private space.So you never have to worry about someone stealing your laptop, ipad, business file, homework and anything value, keep you a nice peace of mind. Durable metal zippers close and open smoothly, ensure a secure and long-lasting usage everyday or weekend.;Age Range Description: Adult; Pocket Description: Utility Pocket; Pattern Name: Solid; Style Name: Classic    ?BREATHABLE & COMFORTABLE - Padded and breathable mesh back panel of this Backpack design help for the air convection, ventilation and heat elimination. Comfortable wide breathable mesh shoulder straps with plentiful sponge pad help relieve the stress from your shoulder. Both sides of the shoulder strap with design, can hang sunglasses and other small pendants.Premium bookbags for men also school backpack for teen boys. And it is a Ideal gifts for men women."," 






 





 





 






 SIDE POCKET   Pockets at side for water bottle and compact umbrella make your items organized and easier to find. Every single detail in our backpack is made from the best quality materials.  



 HIGH QUALITY POLYESTER    The business computer backpack made from high quality polyester fabric shockproof with high density nylon lining for better TEAR & WATER RESISTANT and heavy duty backpack.  



 WATER RESISTANT   Made of high quality water resistant lightweight Polyester which protects your laptop and other essentials.  






"
